                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6207,                    0.3,                      1,                 1.6025,                      0,                      0,                      0
                      2,                 1.6207,                    0.3,                      1,                 1.6057,             7.1047e-06,             7.1047e-06,             7.1047e-06
                      3,                 1.6005,                    0.3,                      1,                 1.6082,             1.4139e-05,             1.4139e-05,             1.4139e-05
                      4,                 1.5607,                    0.3,                      1,                 1.6092,             2.1102e-05,             2.1102e-05,             2.1102e-05
                      5,                 1.5021,                    0.2,                      1,                 1.6081,             2.7995e-05,             2.7995e-05,             2.7995e-05
                      6,                 1.4264,                    0.2,                      1,                 1.6056,             3.4816e-05,             3.4816e-05,             3.4816e-05
                      7,                 1.3355,                    0.2,                      1,                 1.6021,             4.1568e-05,             4.1568e-05,             4.1568e-05
                      8,                 1.2321,                    0.2,                      1,                 1.5982,             4.8248e-05,             4.8248e-05,             4.8248e-05
                      9,                 1.1194,                    0.3,                      1,                 1.5932,             5.4858e-05,             5.4858e-05,             5.4858e-05
                     10,                 1.0013,                    0.3,                      1,                 1.5876,             6.1397e-05,             6.1397e-05,             6.1397e-05
                     11,                0.88148,                    0.3,                      1,                 1.5816,             6.7866e-05,             6.7866e-05,             6.7866e-05
                     12,                0.76383,                    0.3,                      1,                 1.5756,             7.4263e-05,             7.4263e-05,             7.4263e-05
                     13,                0.65173,                    0.4,                      1,                 1.5695,             8.0591e-05,             8.0591e-05,             8.0591e-05
                     14,                0.54802,                    0.5,                      1,                 1.5633,             8.6847e-05,             8.6847e-05,             8.6847e-05
                     15,                 0.4547,                    0.5,                      1,                 1.5572,             9.3033e-05,             9.3033e-05,             9.3033e-05
                     16,                0.37286,                    0.5,                      1,                 1.5511,             9.9148e-05,             9.9148e-05,             9.9148e-05
                     17,                0.30281,                    0.6,                      1,                  1.545,             0.00010519,             0.00010519,             0.00010519
                     18,                0.24409,                    0.6,                      1,                  1.545,             0.00011117,             0.00011117,             0.00011117
                     19,                0.24409,                    0.6,                      1,                 1.5389,             0.00011707,             0.00011707,             0.00011707
                     20,                0.19347,                    0.6,                      1,                 1.5389,              0.0001229,              0.0001229,              0.0001229
                     21,                0.19347,                    0.6,                      1,                  1.533,             0.00012866,             0.00012866,             0.00012866
                     22,                0.15141,                    0.6,                      1,                  1.533,             0.00013435,             0.00013435,             0.00013435
                     23,                0.15141,                    0.7,                      1,                 1.5273,             0.00013997,             0.00013997,             0.00013997
                     24,                0.11753,                    0.7,                      1,                 1.5273,             0.00014552,             0.00014552,             0.00014552
                     25,                0.11753,                    0.7,                      1,                 1.5216,               0.000151,               0.000151,               0.000151
                     26,                0.09087,                    0.7,                      1,                 1.5216,             0.00015641,             0.00015641,             0.00015641
                     27,                0.09087,                    0.7,                      1,                  1.516,             0.00016175,             0.00016175,             0.00016175
                     28,                0.07029,                    0.7,                      1,                  1.516,             0.00016701,             0.00016701,             0.00016701
                     29,                0.07029,                    0.6,                      1,                 1.5104,             0.00017221,             0.00017221,             0.00017221
                     30,                 0.0546,                    0.6,                      1,                 1.5104,             0.00017734,             0.00017734,             0.00017734
                     31,                 0.0546,                    0.6,                      1,                  1.505,             0.00018239,             0.00018239,             0.00018239
                     32,                0.04271,                    0.6,                      1,                  1.505,             0.00018738,             0.00018738,             0.00018738
                     33,                0.04271,                    0.6,                      1,                 1.4998,             0.00019229,             0.00019229,             0.00019229
                     34,                 0.0337,                    0.6,                      1,                 1.4998,             0.00019713,             0.00019713,             0.00019713
                     35,                 0.0337,                    0.6,                      1,                 1.4948,              0.0002019,              0.0002019,              0.0002019
                     36,                0.02686,                    0.6,                      1,                 1.4948,              0.0002066,              0.0002066,              0.0002066
                     37,                0.02686,                    0.6,                      1,                   1.49,             0.00021124,             0.00021124,             0.00021124
                     38,                0.02163,                    0.6,                      1,                   1.49,              0.0002158,              0.0002158,              0.0002158
                     39,                0.02163,                    0.6,                      1,                 1.4855,             0.00022028,             0.00022028,             0.00022028
                     40,                 0.0176,                    0.6,                      1,                 1.4855,              0.0002247,              0.0002247,              0.0002247
                     41,                 0.0176,                    0.6,                      1,                 1.4813,             0.00022905,             0.00022905,             0.00022905
                     42,                0.01446,                    0.6,                      1,                 1.4813,             0.00023333,             0.00023333,             0.00023333
                     43,                0.01446,                    0.6,                      1,                 1.4774,             0.00023753,             0.00023753,             0.00023753
                     44,                0.01199,                    0.6,                      1,                 1.4774,             0.00024167,             0.00024167,             0.00024167
                     45,                0.01199,                    0.6,                      1,                 1.4737,             0.00024574,             0.00024574,             0.00024574
                     46,                0.01004,                    0.6,                      1,                 1.4737,             0.00024973,             0.00024973,             0.00024973
                     47,                0.01004,                    0.6,                      1,                 1.4703,             0.00025365,             0.00025365,             0.00025365
